Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
3/18/2022 16:18,106.341,81.328,6.968,3.29,74.82,918,935.8,115.7,102.3,145.3,895.1,8.78,18.79,2,0.441345133
3/18/2022 16:19,105.963,81.193,6.968,3.17,74.8,908.8,923.4,116.3,106.9,147.7,925.7,8.86,18.71,1,0.265415365
3/18/2022 16:20,105.449,81.362,6.864,3.190067536,74.83,903.1,918.2,120.5,106.4808419,145.6,937.7,8.85,18.75,1,0.307103912
3/18/2022 16:21,106.439,81.432,6.968,3.21,74.82,879.1,894.8,118.7,106.4,146.5,912.6,8.8,18.77,2,0.532227495
3/18/2022 16:22,105.685,81.069,6.292,3.57,75.73,891.5,915.5,114.8,101,146.8,843.8,8.61,18.96,3,0.667034704
3/18/2022 16:47,105.505,81.437,6.864,3.18685442,74.81,879.0771621,926.3,104.6,106.4241989,146,926.5,8.85,18.73,1,0.176814947
3/18/2022 16:48,105.959,81.309,6.24,3.24,75.7,891.1,910.1,126.7,108.5,145.6,904.2,8.81,18.76,3,0.52798346
3/18/2022 16:49,106.2747163,80.617,6.864,3.16,74.83,903.1,935.9,120.5,104.9,146.1,882.3,8.68,18.73,1,0.664171898
3/18/2022 16:49,105.467,80.689,6.292,5.25,75.77,896.6,913.6,101.9,82.6,146.6,852.9,8.69,18.87,3,0.468903238
3/18/2022 16:50,106.17,81.16,6.968,3.2,74.8,912,930.6,116.3,106.2,147.3,913.5,8.75,18.82,2,0.201874634
3/18/2022 16:51,105.449,81.343,6.968,3.180028976,74.82,920.6720308,904,127.3,104.3,147.6,874.6,8.81,18.71,1,0.493039751
3/18/2022 16:52,105.944,81.058,6.864,4.08,74.82,885.9688789,904,127.3,106.3367743,147,920.2,8.59,18.73,1,0.703910043
3/18/2022 16:52,108.847,81.942,11.128,2.93,75.63,902.5,919,114.5,105.5,146.2,887.2,8.9,18.67,4,0.773421546
3/18/2022 16:53,105.935,81.312,6.188,3.27,75.74,890.7,911,114.2,106.4,147.8,898.8,8.83,18.74,3,0.125543187
3/18/2022 16:54,106.077,81.959,10.972,2.89,75.64,901.6,919,126.1,104.6,145.7,908.9,8.93,18.63,4,0.438468997
3/18/2022 16:54,105.449,81.402,6.968,3.82,74.82,878.8442064,919.9,104.6,104.3,147,917.5,8.84,18.73,1,0.643392531
3/18/2022 16:55,106.107,82.051,11.128,2.96,75.66,900.9,918.4,120.8,104.6,146.2,875.2,8.79,18.78,4,0.140109158
3/18/2022 17:35,106.459,81.534,6.968,3.18,74.8,880,898.3,118.7,106,145.2,924.6,8.81,18.76,1,0.206449278
3/18/2022 17:35,106.323,81.471,7.124,3.186283726,74.83,920.0266554,938.2,104.6,93.1,147,882.3,8.8,18.76,1,0.783494919
3/18/2022 17:36,106.107,81.457,6.084,2.87,75.65,904.9,919.7,114.8,105.6,146.1,899.7,8.95,18.62,4,0.201225319
3/18/2022 17:37,106.095,82.086,11.128,2.88,75.65,902.5,919.5,116,105.3,145.9,914.3,8.96,18.61,4,0.822637365
3/18/2022 17:38,106.062,81.945,10.972,2.93,75.64,903.1,918.8,114.2,105.6,145.7,882.4,8.83,18.74,4,0.644269526
3/18/2022 17:39,105.656,80.874,6.292,3.78,75.73,901.2,922.1,115.7,97.3,146.2,833.8,8.56,19,3,0.603086505
3/18/2022 17:40,105.844,81.132,6.188,3.49,75.74,892.6,912.3,122,105,147,865,8.68,18.88,3,0.911067068
3/18/2022 17:41,106.22,81.308,6.968,3.22,74.81,914.4,931.1,108.5,101.4,145.3,915.1,8.8,18.77,2,0.058330883
3/18/2022 17:42,105.884,81.274,6.188,3.33,75.78,893.9,913.2,111.2,104.1,146.8,896.7,8.8,18.76,3,0.831409987
3/18/2022 17:43,106.191,81.338,6.968,3.26,74.81,912.5,928.2,116.3,102.8,147.1,911.4,8.79,18.78,2,0.622733321
3/18/2022 17:44,106.248,81.237,6.968,3.23,74.83,913.8,928.6,115.4,103.8,145.8,915.9,8.82,18.74,2,0.823486365
3/18/2022 17:45,106.2705046,81.437,6.968,3.82,74.82,908.6,919.9,116.9,107.3,146.1,933.1,8.59,18.98,1,0.871604594
